gene_symbol	cytobandID
DDX11L2	p36.33
DDX11L1	p36.33
WASH7P	p36.33
MIR6859-1	p36.33
MIR1302-2HG	p36.33
MIR1302-2	p36.33
FAM138A	p36.33
OR4G4P	p36.33
ENSG00000290826	p36.33
OR4G11P	p36.33
OR4F5	p36.33
ENSG00000238009	p36.33
ENSG00000239945	p36.33
CICP27	p36.33
ENSG00000268903	p36.33
ENSG00000269981	p36.33
ENSG00000239906	p36.33
ENSG00000241860	p36.33
RNU6-1100P	p36.33
ENSG00000241599	p36.33
DDX11L17	p36.33
WASH9P	p36.33
MIR6859-2	p36.33
ENSG00000292994	p36.33
ENSG00000228463	p36.33
ENSG00000286448	p36.33
RPL23AP24	p36.33
ENSG00000236601	p36.33
ENSG00000290385	p36.33
WBP1LP7	p36.33
OR4F29	p36.33
ENSG00000237094	p36.33
CICP7	p36.33
ENSG00000250575	p36.33
U6	p36.33
ENSG00000293331	p36.33
ENSG00000235146	p36.33
MTND1P23	p36.33
MTND2P28	p36.33
MTCO1P12	p36.33
ENSG00000278791	p36.33
MTCO2P12	p36.33
MTATP8P1	p36.33
MTATP6P1	p36.33
MTCO3P12	p36.33
WBP1LP6	p36.33
OR4F16	p36.33
ENSG00000230021	p36.33
CICP3	p36.33
ENSG00000291215	p36.33
RNU6-1199P	p36.33
ENSG00000229905	p36.33
ENSG00000228327	p36.33
LINC01409	p36.33
ENSG00000285268	p36.33
ENSG00000290784	p36.33
ENSG00000230092	p36.33
FAM87B	p36.33
LINC00115	p36.33
LINC01128	p36.33
ENSG00000288531	p36.33
FAM41C	p36.33
TUBB8P11	p36.33
ENSG00000283040	p36.33
ENSG00000272438	p36.33
LINC02593	p36.33
SAMD11	p36.33
NOC2L	p36.33
KLHL17	p36.33
PLEKHN1	p36.33
PERM1	p36.33
ENSG00000272512	p36.33
HES4	p36.33
ISG15	p36.33
ENSG00000231702	p36.33
ENSG00000224969	p36.33
AGRN	p36.33
ENSG00000242590	p36.33
ENSG00000291156	p36.33
ENSG00000273443	p36.33
ENSG00000217801	p36.33
RNF223	p36.33
C1orf159	p36.33
ENSG00000285812	p36.33
LINC01342	p36.33
MIR200B	p36.33
MIR200A	p36.33
MIR429	p36.33
ENSG00000272141	p36.33
TTLL10-AS1	p36.33
TTLL10	p36.33
TNFRSF18	p36.33
TNFRSF4	p36.33
SDF4	p36.33
B3GALT6	p36.33
C1QTNF12	p36.33
ENSG00000260179	p36.33
UBE2J2	p36.33
LINC01786	p36.33
SCNN1D	p36.33
ACAP3	p36.33
MIR6726	p36.33
PUSL1	p36.33
INTS11	p36.33
MIR6727	p36.33
ENSG00000240731	p36.33
CPTP	p36.33
TAS1R3	p36.33
DVL1	p36.33
MIR6808	p36.33
MXRA8	p36.33
AURKAIP1	p36.33
NDUFB4P8	p36.33
CCNL2	p36.33
MRPL20-AS1	p36.33
MRPL20	p36.33
RN7SL657P	p36.33
MRPL20-DT	p36.33
ANKRD65	p36.33
ANKRD65-AS1	p36.33
TMEM88B	p36.33
LINC01770	p36.33
VWA1	p36.33
ATAD3C	p36.33
ATAD3B	p36.33
ENSG00000290916	p36.33
ENSG00000284740	p36.33
ATAD3A	p36.33
TMEM240	p36.33
SSU72	p36.33
ENSG00000215014	p36.33
ENSG00000274481	p36.33
FNDC10	p36.33
ENSG00000286989	p36.33
ENSG00000272106	p36.33
MIB2	p36.33
MMP23B	p36.33
CDK11B	p36.33
ENSG00000272004	p36.33
SLC35E2B	p36.33
ENSG00000293187	p36.33
ENSG00000269737	p36.33
MMP23A	p36.33
CDK11A	p36.33
ENSG00000268575	p36.33
ENSG00000293188	p36.33
ENSG00000290854	p36.33
SLC35E2A	p36.33
ENSG00000227775	p36.33
NADK	p36.33
GNB1	p36.33
GNB1-DT	p36.33
CALML6	p36.33
TMEM52	p36.33
CFAP74	p36.33
ENSG00000233542	p36.33
GABRD	p36.33
PRKCZ-DT	p36.33
PRKCZ	p36.33
ENSG00000271806	p36.33
PRKCZ-AS1	p36.33
FAAP20	p36.33
ENSG00000234396	p36.33
